label,url,brand,name,skin_type,spf,concern,concern2,concern3,key_ingredient,formulation,image
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-women-luminous-whip-ultra-lightweight-face-moisturiser-10g/11318456/buy,Olay,Women Luminous Whip Ultra Lightweight Face Moisturiser 10g,Normal,,Pigmentation,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-women-set-of-norwegian-formula-spf-15-lip-moisturizer--hydro-boost-water-gel/9653839/buy,Neutrogena,Women Set of Norwegian Formula SPF 15 Lip Moisturizer & Hydro Boost Water Gel,Normal,,Hydration,Deep Nourishment,Dryness,Hyaluronic Acid,Gel,
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-dandelion-anti-ageing-serum-duo/7037595/buy,Biotique,Dandelion Anti Ageing Serum Duo,Normal,,Fine Lines and Wrinkles,,Skin Sagging,Almond Oil,,
face-moisturisers,https://www.myntra.com/face-moisturisers/the-moms-co/the-moms-co-natural-age-control-night-cream-with-bakuchiol-50-g/12926542/buy,The Moms Co.,Natural Age Control Night Cream with Bakuchiol 50 g,Normal,,Fine Lines and Wrinkles,Blackheads and Whiteheads,Dull Skin,Bakuchiol,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-hydra-fresh-anti-ox-double-essence-cream-50ml/2383017/buy,LOreal,Paris Hydra Fresh Anti-Ox Double Essence Cream 50ml,Normal,,Hydration,Deep Nourishment,General Care,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/the-derma-co/the-derma-co-1-salicylic-acid-oil-free-moisturizer-for-face-with-oat-extract---50-g/15537092/buy,The Derma co.,1% Salicylic Acid Oil-Free Moisturizer for Face with Oat extract - 50 g,Oily,,Acne or Blemishes,Excess Oil,,Salicylic Acid,Cream,https://tdc.imgix.net/catalog/product/3/r/3rd_3.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-set-of-cream--lotion/13538408/buy,Biotique,Set Of Cream & Lotion,Normal,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free--spf-15-face-moisturizer--115ml/6967604/buy,Neutrogena,Oil-Free SPF 15 Face Moisturizer 115ml,Normal,15 to 30,Sun Protection,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-set-of-non-oily-light--super-light-gel-oil-free-moisturisers/15062284/buy,Ponds,Set of Non-Oily Light & Super Light Gel Oil Free Moisturisers,Normal,,General Care,,,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/plum/plum-set-of-toner--face-moisturiser/13538884/buy,Plum,Set of Toner & Face Moisturiser,Oily,,Acne or Blemishes,Blackheads and Whiteheads,Excess Oil,Green Tea,Cream,https://m.media-amazon.com/images/I/51WESHVRPTL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/forest-essentials/forest-essentials-night-treatment-cream-jasmine--patchouli-50g-/12529664/buy,Forest Essentials,Night Treatment Cream Jasmine & Patchouli 50g,Normal,,General Care,Softening and Smoothening,Pore Care,Vitamin C,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-unisex-sustainable-set-of-nourishing-night-cream--anti-fatigue-eye-gel/13538498/buy,Biotique,Unisex Sustainable Set of Nourishing Night Cream & Anti-Fatigue Eye Gel,Normal,,Dryness,Deep Nourishment,Dryness,Almond Oil,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-set-of-2-super-non-oily-fresh-feel-moisturiser/14465934/buy,Ponds,Set Of 2 Super Non-Oily Fresh Feel Moisturiser,Normal,15 to 30,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable--whiteglow-whitening--brightening-nourishing-night-creme-60g/95942/buy,Lotus Herbals,Sustainable Whiteglow Whitening Brightening Nourishing Night Creme 60g,Normal,,Pigmentation,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-anti-ageing-micro-sculpting-cream--women-regenerist--anti-ageing-night-skin-cream/15062026/buy,Olay,Anti-Ageing Micro-Sculpting Cream & Women Regenerist Anti-Ageing Night Skin Cream,Dry,15 to 30,Fine Lines and Wrinkles,Deep Nourishment,Dark Spots,,Cream,https://m.media-amazon.com/images/I/61orr61XfeL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/the-face-shop/the-face-shop-unisex-pomegranate--collagen-volume-lifting-emulsion-140-ml/9113685/buy,The Face Shop,Unisex Pomegranate & Collagen Volume Lifting Emulsion 140 ml,Normal,,Dryness,Deep Nourishment,,Collagen,Lotion,
face-moisturisers,https://www.myntra.com/face-moisturisers/kama-ayurveda/kama-ayurveda-sustainable-men-skin-brightening-night-cream-50-g/10611226/buy,KAMA AYURVEDA,Sustainable Men Skin Brightening Night Cream 50 g,Normal,,Pigmentation,Dark Spots,Softening and Smoothening,Saffron,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/vlcc/vlcc-skin-defence-normal-to-dry-skin-honey-moisturizer-100-ml/10000857/buy,VLCC,Skin Defence Normal To Dry Skin Honey Moisturizer 100 ml,Normal,,General Care,Softening and Smoothening,Deep Nourishment,Honey,Lotion,
face-moisturisers,https://www.myntra.com/face-moisturisers/the-moms-co/the-moms-co-natural-vita-rich-day--night-sustainable-face-cream-50-ml/11021420/buy,The Moms Co.,Natural Vita Rich Day & Night Sustainable Face Cream 50 ml,Normal,15 to 30,Fine Lines and Wrinkles,Blackheads and Whiteheads,Pigmentation,Hyaluronic Acid,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/lakme/lakme-absolute-perfect-radiance-skin-lightening-face-wash---50-g/4384875/buy,Lakme,Absolute Perfect Radiance Skin Lightening Face Wash - 50 g,Combination,,Lightening,Dark Spots,Acne or Blemishes,,Cream,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,dpr-2/static/img/product/175598/lakme-perfect-radiance-fairness-face-wash-50-g-22_9_display_1651745541_21e55fbe.jpg"
cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-bio-white-advanced-fairness-sustainable-face-wash---100-ml/2432715/buy,Biotique,Bio White Advanced Fairness Sustainable Face Wash - 100 ml,Normal,,Dull Skin,Uneven Skin Tone,Daily Use,Honey,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/mamaearth/mamaearth-vitamin-c-face-wash-with-turmeric-for-skin-illumination-100-ml/12087900/buy,Mamaearth,Vitamin C Face Wash with Turmeric for Skin Illumination 100 ml,Normal,,Lightening,Pore Care,Pigmentation,Vitamin C,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/garnier/garnier-men-power-white-anti-dark-cells-fairness-face-wash-100-g/7337612/buy,Garnier,Men Power White Anti-Dark Cells Fairness Face Wash 100 g,Normal,,General Care,,,,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/plum/plum-charcoal-do-the-detox-face-wash-100ml/15450030/buy,Plum,Charcoal Do-the-Detox Face Wash-100ml,Normal,,Pore Care,Daily Use,Tan Removal,Charcoal,Gel,
cleanser,https://www.myntra.com/face-wash-and-cleanser/lotus-herbals/lotus-herbals-sustainable-whiteglow-3-in-1-deep-cleansing-skin-whitening-facial-foam-50-g/57755/buy,Lotus Herbals,Sustainable WhiteGlow 3-in-1 Deep Cleansing Skin Whitening Facial Foam 50 g,Normal,,Lightening,Dull Skin,,Aloe Vera,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-bio-white-advanced-fairness-sustainable-face-wash-200-ml/9314855/buy,Biotique,Bio White Advanced Fairness Sustainable Face Wash 200 ml,Normal,,Dull Skin,Uneven Skin Tone,Daily Use,Honey,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/lakme/lakme-blush--glow-strawberry-gel-face-wash-with-100-real-strawberry-extract-100g/153915/buy,Lakme,Blush & Glow Strawberry Gel Face Wash With 100% Real Strawberry Extract 100g,Normal,,General Care,Daily Use,,,Gel,
cleanser,https://www.myntra.com/face-wash-and-cleanser/mamaearth/mamaearth-sustainable-ubtan-face-wash-with-turmeric--saffron-for-tan-removal-100-ml/11081560/buy,Mamaearth,Sustainable Ubtan Face Wash with Turmeric & Saffron for Tan Removal 100 ml,Normal,,Lightening,Tan Removal,Softening and Smoothening,Turmeric,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-bio-papaya-visibly-flawless-skin-sustainable-face-wash---100-ml/2432717/buy,Biotique,Bio Papaya Visibly Flawless Skin Sustainable Face Wash - 100 ml,Normal,,General Care,Dull Skin,Uneven Skin Tone,Papaya,Gel,
cleanser,https://www.myntra.com/face-wash-and-cleanser/garnier/garnier-skin-naturals-micellar-cleansing-water-125-ml/6610914/buy,Garnier,Skin Naturals Micellar Cleansing Water 125 ml,Normal,,General Care,,,Glycolic Acid,Gel,
cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-purifying-neem-face-wash-200ml/6628423/buy,Himalaya,Purifying Neem Face Wash 200ml,Oily,,Acne or Blemishes,General Care,Pigmentation,Neem,Gel,https://m.media-amazon.com/images/I/31fgsfngRVL.jpg
cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-bio-pack-of-2-papaya-exfoliating-face-wash/9314861/buy,Biotique,Bio Pack of 2 Papaya Exfoliating Face Wash,Normal,,General Care,Dull Skin,Uneven Skin Tone,Papaya,Gel,
cleanser,https://www.myntra.com/face-wash-and-cleanser/mamaearth/mamaearth-vitamin-c-foaming-face-wash-with-turmeric-for-skin-illumination-150-ml/12729796/buy,Mamaearth,Vitamin C Foaming Face Wash with Turmeric for Skin Illumination 150 ml,Normal,,Lightening,Pore Care,Pigmentation,Vitamin C,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/mcaffeine/mcaffeine-naked--raw-coffee-sustainable-face-wash-for-normal-to-oily-skin-100-ml/10901930/buy,MCaffeine,Naked & Raw Coffee Sustainable Face Wash for Normal to Oily Skin 100 ml,Oily,,Excess Oil,General Care,Anti-Pollution,Caffeine,Gel,https://hdn-1.fynd.com/products/pictures/item/free/original/MCaf41/uU5eT5o_Hq-1.jpg
cleanser,https://www.myntra.com/face-wash-and-cleanser/the-body-shop/the-body-shop-vitamin-e-range-tea-tree-skin-clearing-sustainable-face-wash-250-ml/1777425/buy,THE BODY SHOP,The Body Shop Vitamin E Range Tea Tree Skin Clearing Sustainable Face Wash 250 ml,Oily,,Acne or Blemishes,Excess Oil,,Tea Tree,Gel,https://www.thebodyshop.pk/storage/products/tea-tree-skin-clearing-facial-wash-1052108-1.jpg
cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-bio-neem-purifying-face-wash-150-ml/1919965/buy,Biotique,Bio Neem Purifying Face Wash 150 ml,Normal,,Acne or Blemishes,Dull Skin,Dull Skin,Neem,Gel,
cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-moisturizing-aloe-vera-face-wash-with-vitamin-e-for-dry-skin-100-ml/6628429/buy,Himalaya,Moisturizing Aloe Vera Face Wash with Vitamin E for Dry Skin 100 ml,Dry,,Hydration,Dryness,Softening and Smoothening,Aloe Vera,Gel,https://cdn.shopify.com/s/files/1/0415/7826/6780/products/8883756.jpg?v=1617014333&width=900
cleanser,https://www.myntra.com/face-wash-and-cleanser/loreal/loreal-paris-white-perfect-milky-sustainable-facial-foam---purifying--brightening-100-ml/236316/buy,LOreal,Paris White Perfect Milky Sustainable Facial Foam - Purifying & Brightening 100 ml,Normal,,Uneven Skin Tone,Dark Spots,Pore Care,Vitamin C,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/mcaffeine/mcaffeine-cappuccino-acne--oil-control-coffee-foaming-face-wash-75-ml/14380222/buy,MCaffeine,Cappuccino Acne & Oil Control Coffee Foaming Face Wash 75 ml,Normal,,Acne or Blemishes,Excess Oil,Redness,Caffeine,Cream,
cleanser,https://www.myntra.com/face-wash-and-cleanser/garnier/garnier-set-of-acno-fight-anti-pimple-facewash--pimple-clearing-whitening-cream/14148774/buy,Garnier,Set of Acno Fight Anti Pimple Facewash & Pimple Clearing Whitening Cream,Normal,,Blackheads Removal,Excess Oil,Uneven Skin Tone,Salicylic Acid,Gel,
cleanser,https://www.myntra.com/face-wash-and-cleanser/plum/plum-green-tea-range-pore-cleansing-sustainable-face-wash-oily-or-acne-prone-skin---75-ml/2175584/buy,,,,,,,,,,
cleanser,https://www.myntra.com/face-wash-and-cleanser/lotus-herbals/lotus-herbals-sustainable-apriscrub-fresh-apricot-scrub-180-g/57764/buy,Lotus Herbals,Sustainable Apriscrub Fresh Apricot Scrub 180 g,Normal,,General Care,Blackheads and Whiteheads,,Walnut,Cream,
